energy (eV),92238->92238,92238->6012,6012->92238,6012->6012
436975,1257.33,3482.17,162.819,461.364
458824,1314.93,3642.75,165.279,467.197
481765,1375.15,3810.61,167.705,472.944
505853,1438.05,3985.95,170.098,478.604
531146,1503.76,4169.05,172.457,484.177
557703,1572.35,4360.18,174.781,489.661
585588,1643.95,4559.69,177.07,495.058
614868,1718.71,4767.93,179.325,500.367
645611,1796.74,4985.26,181.546,505.589
677891,1878.18,5212.07,183.732,510.725
711786,1963.17,5448.71,185.884,515.775
747375,2051.84,5695.61,188.003,520.742
784744,2144.36,5953.14,190.09,525.627
823981,2240.87,6221.75,192.145,530.431
865180,2341.52,6501.85,194.169,535.159
908439,2446.48,6793.89,196.163,539.811
953861,2555.9,7098.33,198.128,544.391
1.00155e+06,2669.97,7415.63,200.066,548.902
1.05163e+06,2788.85,7746.27,201.977,553.346
1.10421e+06,2912.72,8090.75,203.864,557.729
1.15942e+06,3041.77,8449.57,205.727,562.052
1.2174e+06,3176.18,8823.24,207.569,566.319
1.27827e+06,3316.14,9212.29,209.391,570.536
1.34218e+06,3461.85,9617.26,211.194,574.705
1.40929e+06,3613.5,10038.7,212.98,578.831
1.47975e+06,3771.3,10477.1,214.752,582.918
1.55374e+06,3935.44,10933.2,216.51,586.97
1.63143e+06,4106.15,11407.3,218.257,590.993
1.713e+06,4283.62,11900.3,219.995,594.989
1.79865e+06,4468.08,12412.5,221.726,598.963
1.88858e+06,4659.72,12944.6,223.45,602.921
1.98301e+06,4858.78,13497.2,225.172,606.866
2.08216e+06,5065.46,14070.9,226.891,610.802
2.18627e+06,5279.98,14666.3,228.611,614.734
2.29558e+06,5502.56,15284,230.332,618.665
2.41036e+06,5733.41,15924.5,232.056,622.6
2.53088e+06,5972.74,16588.5,233.786,626.543
2.65742e+06,6220.77,17276.5,235.523,630.497
2.79029e+06,6477.7,17989,237.268,634.465
2.92981e+06,6743.73,18726.7,239.022,638.451
3.0763e+06,7019.06,19490.2,240.788,642.458
3.23011e+06,7303.89,20279.8,242.566,646.488
3.39162e+06,7598.4,21096.1,244.358,650.545
3.5612e+06,7902.78,21939.6,246.164,654.63
3.73926e+06,8217.18,22810.9,247.986,658.746
3.92622e+06,8541.78,23710.2,249.824,662.895
4.12253e+06,8876.72,24638,251.68,667.078
4.32866e+06,9222.15,25594.7,253.553,671.298
4.54509e+06,9578.18,26580.7,255.446,675.555
4.77235e+06,9944.94,27596.2,257.357,679.851
5.01097e+06,10322.3,28641,259.283,684.174
5.26151e+06,10710.4,29715.2,261.222,688.524
5.52459e+06,11109.3,30819.1,263.177,692.902
5.80082e+06,11519,31952.7,265.147,697.311
6.09086e+06,11939.6,33116.2,267.133,701.753
6.3954e+06,12370.9,34309.4,269.138,706.23
6.71517e+06,12813.1,35532.3,271.161,710.744
7.05093e+06,13266.1,36784.9,273.204,715.298
7.40348e+06,13729.8,38066.8,275.268,719.893
7.77365e+06,14204.1,39377.8,277.355,724.535
8.16234e+06,14689,40717.7,279.467,729.228
8.57045e+06,15184.2,42086.1,281.605,733.976
8.99897e+06,15689.7,43482.5,283.771,738.779
9.44892e+06,16205.3,44906.4,285.966,743.642
9.92137e+06,16730.7,46357.4,288.19,748.566
1e+07,16811.4,46580.1,288.553,749.369
