energy (eV),92238,40091,6012
3667.24,2858.76,2784.75,1934.04
3850.6,2997.11,2919.17,2018.25
4043.13,3142.12,3060.04,2105.82
4245.29,3294.11,3207.66,2196.87
4457.55,3453.41,3362.35,2291.51
4680.43,3620.38,3524.45,2389.86
4914.45,3795.37,3694.32,2492.03
5160.17,3978.78,3872.32,2598.14
5418.18,4171,4058.83,2708.31
5689.09,4372.45,4254.26,2822.66
5973.55,4583.58,4459.03,2941.3
6272.22,4804.83,4673.58,3064.37
6585.84,5036.71,4898.38,3191.98
6915.13,5279.71,5133.9,3324.26
7260.88,5534.35,5380.67,3461.32
7623.93,5801.18,5639.17,3603.29
8005.12,6080.7,5909.91,3750.26
8405.38,6373.74,6193.67,3902.41
8825.65,6680.66,6490.81,4059.79
9266.93,7002.36,6802.18,4222.58
9730.28,7339.37,7128.28,4390.85
10216.8,7692.51,7469.89,4564.73
10727.6,8062.53,7827.75,4744.34
11264,8450.14,8202.5,4929.75
11827.2,8856.35,8595.14,5121.1
12418.6,9281.88,9006.32,5318.47
13039.5,9727.66,9436.95,5521.95
13691.5,10194.7,9887.94,5731.63
14376.1,10683.9,10360.2,5947.59
15094.9,11196.3,10854.9,6169.91
15849.6,11733.2,11372.8,6398.66
16642.1,12295.5,11915.2,6633.9
17474.2,12884.5,12483.2,6875.69
18347.9,13501.5,13077.8,7124.07
19265.3,14147.7,13700.5,7379.09
20228.5,14824.5,14352.5,7640.78
21240,15533.4,15035.1,7909.17
22302,16275.8,15749.7,8184.26
23417.1,17053.3,16497.9,8466.07
24587.9,17867.5,17281.1,8754.58
25817.3,18720.2,18100.9,9049.78
27108.2,19613.2,18959.2,9351.66
28463.6,20548.2,19857.5,9660.16
29886.8,21527.3,20797.9,9975.26
31381.1,22552.4,21782,10296.9
32950.2,23625.8,22812.1,10625
34597.7,24749.7,23890.1,10959.5
36327.6,25926.3,25018.2,11300.3
38143.9,27158.1,26198.8,11647.3
40051.1,28447.7,27434.1,12000.4
42053.7,29797.7,28726.7,12359.4
44156.4,31213.2,30081.6,12724.5
46364.2,32691.5,31495.7,13095.2
48682.4,34239.6,32975.8,13471.4
51116.5,35863.2,34527.5,13853.2
53672.4,37558.1,36146.4,14240.1
56356,39332.8,37840.6,14632.1
59173.8,41194.3,39616.8,15029.2
62132.5,43136.9,41469.2,15430.9
65239.1,45175.2,43412,15837.2
68501,47302.3,45437.9,16247.8
71926.1,49533.5,47561.8,16662.6
75522.4,51862.3,49777.1,17081.2
79298.5,54304.2,52098.6,17503.7
83263.5,56853.5,54520.4,17929.6
87426.6,59525.4,57056.9,18358.8
91798,62315.5,59703.5,18791.1
96387.9,65238.5,62474.1,19226.3
101207,68291.5,65365.5,19664.1
106268,71488.3,68390.6,20104.4
111581,74828.3,71548.2,20546.8
117160,78323.8,74849.8,20991.2
123018,81976.9,78296.6,21437.3
129169,85798.1,81898.3,21885
135627,89791.5,85658,22333.9
142409,93968.1,89585.6,22784
149529,98332.2,93684.4,23234.9
157006,102896,97965.2,23686.3
164856,107664,102431,24137
173099,112650,107094,24586.5
181754,117857,111957,25034.5
190841,123302,117033,25480.7
200383,128988,122324,25924.6
210403,134933,127845,26366.1
220923,141139,133598,26804.8
231969,147627,139599,27240.3
243567,154398,145849,27672.5
255746,161477,152366,28100.9
268533,168862,159149,28525.3
281960,176582,166219,28945.5
296058,184645,173582,29361.1
310860,193049,181235,29772.4
326403,201834,189208,30180.6
342724,211008,197504,30585.5
359860,220565,206119,30986.9
377853,230552,215084,31384.6
396745,240979,224406,31778.4
416583,251858,234092,32168.2
437412,263207,244150,32553.8
459282,275045,254592,32935.2
482247,287389,265426,33312.1
506359,300262,276664,33684.6
531677,313682,288314,34052.6
558261,327670,300388,34415.9
586174,342245,312891,34774.7
615482,357430,325833,35128.7
646257,373248,339224,35478.1
678569,389722,353072,35822.9
712498,406876,367384,36163.1
748123,424735,382169,36498.7
785529,443323,397433,36829.8
824805,462666,413182,37156.5
866046,482789,429422,37478.9
909348,503720,446159,37797.1
954815,525485,463396,38111.3
1.00256e+06,548111,481137,38421.5
1.05268e+06,571626,499384,38728
1.10532e+06,596058,518139,39030.8
1.16058e+06,621434,537403,39330.3
1.21861e+06,647784,557176,39626.6
1.27954e+06,675136,577457,39919.9
1.34352e+06,703518,598243,40210.4
